id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,created_at,username,interaction_type,engagement_score,interaction_rate
1379,"When the heart and the mind work together.. ❤️✨- Robert Edward Grant

#robertgrant #robertedwardgrant #heartcoherence #brainheartcoherence #souljourney #soulguidance #surrendertotheflow #spiritualjourney #spiritualgrowth",0,2,17,3,25,2,2024-11-28 19:30:23,bloomscroller,like,,
1380,"This reminder is so important 🌻↓

Have you paused to truly thank yourself for carrying you this far? For every time you chose to keep going, even when the world felt heavy? Your heart has weathered storms",0,1,24,3,30,0,2024-11-28 19:30:43,bloomscroller,like,,
1064,What is DAI Stablecoin,19,102,440,0,0,0,2024-05-07 12:15:31,kinha,like,,
1321,Ai viral hack!!!,0,18,72,2,27,0,2024-10-30 06:00:58,shivam,like,,
1338,crypto VFX animation art work!!,0,45,93,1,27,0,2024-11-19 06:19:08,shivam,like,,
871,Know that the loard he is god jesus,0,50,99,7,36,0,2024-04-11 03:48:09,kinha,like,,
923,Trust God,0,78,36,1,28,0,2024-04-15 02:44:47,kinha,like,,
167,Unknown Title,2,42,91,10,41,1,2023-11-09 09:24:03,kinha,like,,
152,Unknown Title,0,59,113,8,36,1,2023-11-08 18:43:06,kinha,like,,
30,Ask yourself,0,69,77,6,35,0,2023-10-25 20:11:46,afrobeezy,like,,
1208,Agree or disagree_ #dailywisdom #learningontiktok #motivation,0,53,81,4,34,2,2024-08-28 16:31:47,kinha,like,,
11,Recipe for a flow state,0,45,61,7,36,8,2023-10-23 19:20:07,afrobeezy,like,,
1258,Risposta a @Franky Sospiry  Do you hold SOLANA_ 👀 Let me know what coin I should do next 👇🏻🤯 #solana #sol #altcoin #crypto,1,46,92,3,16,0,2024-09-12 12:45:03,kinha,like,,
1133,“Who’s Happier…” 🤔 - Sadia Khan - #traditionalwomen #traditionalculture #realtalks #sadiakhan,0,80,68,0,0,0,2024-08-16 16:41:21,kinha,like,,
1104,Interesting podcast with Dr Cheri Mah hosted by @Steven Bartlett 🤯 - #lifeadvices #healthadvice #schooltime #sleepadvice #sleeptime #thediaryofaceo .mp4,1,42,70,1,29,0,2024-08-08 16:49:56,kinha,like,,
1252,Solana is heading up 📈,0,72,114,4,15,0,2024-09-12 12:19:57,michaeldadziie,like,,
1213,Type YES if you agree 🙏🏽 #leadership #productivity #service #critics,0,60,53,1,27,0,2024-08-29 13:32:27,kinha,like,,
1236,‘Love thyself’. #motivation #inspiration #dailywisdom,0,62,84,1,23,3,2024-09-02 19:49:23,kinha,like,,
58,act now!,0,43,65,6,36,0,2023-11-01 15:14:13,afrobeezy,like,,
789,jesus..is..my..hero,0,56,72,7,43,0,2024-04-08 05:14:51,kinha,like,,
1246,“The Blame Game…” 🤍 - Sara Al Madani - Credits_ On a Mission - #lifeadvices #lifequote #mindsetgrowth #mindsetmatter #realtalks #saraalmadani #blamegame,1,70,68,5,35,3,2024-09-03 16:07:45,kinha,like,,
1247,“No one’s coming…” 🤍 - Ed Mylett - #lifeadvices #lifequote #lifetip  #successquote #adviceforguys #adviceforboy #realtalks #edmylett,0,80,60,4,21,1,2024-09-03 16:08:02,kinha,like,,
939,DON’T be afraid of any challenge or obstacle. Remember it might not be possible with man but when God is on your side everything is possible.  Video idea credits,0,35,67,1,31,0,2024-04-16 12:28:50,kinha,like,,
1159,Its how you lead your life… #traviskelce #taylorswift #motivation #SuperBowl #inspiration,0,62,60,0,0,0,2024-08-19 15:58:59,kinha,like,,
918,Yes He Has,0,32,67,5,32,0,2024-04-15 02:42:40,kinha,like,,
1160,“Most men live lives…” 💔 - Joe Rogan - #manquote #quoteformen #adviceforman #menlife #realtalks #joerogan,0,35,73,0,0,0,2024-08-19 15:59:25,kinha,like,,
1163,MORE… #ye #kanyewest #kobebryant #motivation,0,37,52,0,0,0,2024-08-19 16:02:36,kinha,like,,
1164,How to identify a good women… 💎 - Credits_ JustPearlyThings - #traditionalwomen #goodwomen #traditionalvalues #relationshipadviceformen,0,66,51,0,0,0,2024-08-19 16:02:59,kinha,like,,
1161,"In a world of trivial distraction, battleproof your focus. Work in quietude, on a big problem that will revolutionize the lives of those you serve.   #leadership #productivity #service #focus #tactics #top5",0,75,80,0,0,0,2024-08-19 15:59:52,kinha,like,,
788,Prayer before bed,1,52,26,6,35,0,2024-04-08 05:14:33,kinha,like,,
714,Raam Raam,0,45,82,0,0,0,2024-04-03 06:15:49,kinha,like,,
996,Ram Siya Ram Siya Ram Jai Jai Ram❤,1,84,45,0,0,0,2024-04-18 02:44:16,kinha,like,,
775,part 2,0,49,76,4,33,0,2024-04-05 19:50:05,kinha,like,,
29,How to be disciplined,0,42,74,8,35,0,2023-10-25 20:03:37,afrobeezy,like,,
377,Unknown Title,0,37,97,13,21,0,2023-11-23 05:10:09,kinha,like,,
779,You really changed these past year what happen?,0,29,99,16,18,0,2024-04-05 19:51:50,kinha,like,,
173,Unknown Title,1,68,115,47,4,0,2023-11-09 09:26:05,kinha,like,,
459,"Have Faith, and keep moving Forward...",6,90,60,0,0,0,2023-11-29 22:09:45,swapnil,like,,
698,Gain the whole world,0,50,40,8,40,0,2024-04-02 09:44:51,kinha,like,,
