id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate
1379,"When the heart and the mind work together.. ❤️✨- Robert Edward Grant

#robertgrant #robertedwardgrant #heartcoherence #brainheartcoherence #souljourney #soulguidance #surrendertotheflow #spiritualjourney #spiritualgrowth",0,2,17,3,25,2,393,2024-11-28 19:30:23,bloomscroller,like,-20.77777777777778,0.1111111111111111
1380,"This reminder is so important 🌻↓

Have you paused to truly thank yourself for carrying you this far? For every time you chose to keep going, even when the world felt heavy? Your heart has weathered storms",0,1,24,3,30,0,415,2024-11-28 19:30:43,bloomscroller,like,-15.6,0.04
1064,What is DAI Stablecoin,19,102,440,0,0,0,1,2024-05-07 12:15:31,kinha,like,1.2267573696145124,0.23129251700680273
1321,Ai viral hack!!!,0,18,72,2,27,0,30,2024-10-30 06:00:58,shivam,like,0.821917808219178,0.2465753424657534
1338,crypto VFX animation art work!!,0,45,93,1,27,0,65,2024-11-19 06:19:08,shivam,like,0.776595744680851,0.4787234042553192
871,Know that the loard he is god jesus,0,50,99,7,36,0,0,2024-04-11 03:48:09,kinha,like,1.49,0.5
923,Trust God,0,78,36,1,28,0,0,2024-04-15 02:44:47,kinha,like,3.081081081081081,2.108108108108108
167,Unknown Title,2,42,91,10,41,1,0,2023-11-09 09:24:03,kinha,like,1.4456521739130435,0.45652173913043476
152,Unknown Title,0,59,113,8,36,1,6,2023-11-08 18:43:06,kinha,like,1.456140350877193,0.5175438596491229
30,Ask yourself,0,69,77,6,35,0,2,2023-10-25 20:11:46,afrobeezy,like,1.8461538461538463,0.8846153846153846
1208,Agree or disagree_ #dailywisdom #learningontiktok #motivation,0,53,81,4,34,2,69,2024-08-28 16:31:47,kinha,like,0.7926829268292683,0.6463414634146342
11,Recipe for a flow state,0,45,61,7,36,8,0,2023-10-23 19:20:07,afrobeezy,like,1.7096774193548387,0.7258064516129032
1258,Risposta a @Franky Sospiry  Do you hold SOLANA_ 👀 Let me know what coin I should do next 👇🏻🤯 #solana #sol #altcoin #crypto,1,46,92,3,16,0,103,2024-09-12 12:45:03,kinha,like,0.3763440860215054,0.4946236559139785
1133,“Who’s Happier…” 🤔 - Sadia Khan - #traditionalwomen #traditionalculture #realtalks #sadiakhan,0,80,68,0,0,0,0,2024-08-16 16:41:21,kinha,like,2.1449275362318843,1.1594202898550725
1104,Interesting podcast with Dr Cheri Mah hosted by @Steven Bartlett 🤯 - #lifeadvices #healthadvice #schooltime #sleepadvice #sleeptime #thediaryofaceo .mp4,1,42,70,1,29,0,2,2024-08-08 16:49:56,kinha,like,1.5492957746478873,0.5915492957746479
1252,Solana is heading up 📈,0,72,114,4,15,0,164,2024-09-12 12:19:57,michaeldadziie,like,0.19130434782608696,0.6260869565217392
1213,Type YES if you agree 🙏🏽 #leadership #productivity #service #critics,0,60,53,1,27,0,145,2024-08-29 13:32:27,kinha,like,-0.5925925925925926,1.1111111111111112
1236,‘Love thyself’. #motivation #inspiration #dailywisdom,0,62,84,1,23,3,90,2024-09-02 19:49:23,kinha,like,0.6588235294117647,0.7294117647058823
58,act now!,0,43,65,6,36,0,5,2023-11-01 15:14:13,afrobeezy,like,1.5606060606060606,0.6515151515151515
789,jesus..is..my..hero,0,56,72,7,43,0,0,2024-04-08 05:14:51,kinha,like,1.7534246575342465,0.7671232876712328
1246,“The Blame Game…” 🤍 - Sara Al Madani - Credits_ On a Mission - #lifeadvices #lifequote #mindsetgrowth #mindsetmatter #realtalks #saraalmadani #blamegame,1,70,68,5,35,3,41,2024-09-03 16:07:45,kinha,like,1.4057971014492754,1.0144927536231885
1247,“No one’s coming…” 🤍 - Ed Mylett - #lifeadvices #lifequote #lifetip  #successquote #adviceforguys #adviceforboy #realtalks #edmylett,0,80,60,4,21,1,153,2024-09-03 16:08:02,kinha,like,-0.21311475409836064,1.3114754098360655
939,DON’T be afraid of any challenge or obstacle. Remember it might not be possible with man but when God is on your side everything is possible.  Video idea credits,0,35,67,1,31,0,0,2024-04-16 12:28:50,kinha,like,1.5,0.5147058823529411
1159,Its how you lead your life… #traviskelce #taylorswift #motivation #SuperBowl #inspiration,0,62,60,0,0,0,0,2024-08-19 15:58:59,kinha,like,2.0,1.0163934426229508
918,Yes He Has,0,32,67,5,32,0,0,2024-04-15 02:42:40,kinha,like,1.4558823529411764,0.47058823529411764
1160,“Most men live lives…” 💔 - Joe Rogan - #manquote #quoteformen #adviceforman #menlife #realtalks #joerogan,0,35,73,0,0,0,0,2024-08-19 15:59:25,kinha,like,1.4594594594594594,0.47297297297297297
1163,MORE… #ye #kanyewest #kobebryant #motivation,0,37,52,0,0,0,0,2024-08-19 16:02:36,kinha,like,1.679245283018868,0.6981132075471698
1164,How to identify a good women… 💎 - Credits_ JustPearlyThings - #traditionalwomen #goodwomen #traditionalvalues #relationshipadviceformen,0,66,51,0,0,0,0,2024-08-19 16:02:59,kinha,like,2.25,1.2692307692307692
1161,"In a world of trivial distraction, battleproof your focus. Work in quietude, on a big problem that will revolutionize the lives of those you serve.   #leadership #productivity #service #focus #tactics #top5",0,75,80,0,0,0,0,2024-08-19 15:59:52,kinha,like,1.9135802469135803,0.9259259259259259
788,Prayer before bed,1,52,26,6,35,0,12,2024-04-08 05:14:33,kinha,like,2.4444444444444446,1.9259259259259258
714,Raam Raam,0,45,82,0,0,0,0,2024-04-03 06:15:49,kinha,like,1.5301204819277108,0.5421686746987951
996,Ram Siya Ram Siya Ram Jai Jai Ram❤,1,84,45,0,0,0,1,2024-04-18 02:44:16,kinha,like,2.782608695652174,1.826086956521739
775,part 2,0,49,76,4,33,0,0,2024-04-05 19:50:05,kinha,like,1.6233766233766234,0.6363636363636364
29,How to be disciplined,0,42,74,8,35,0,0,2023-10-25 20:03:37,afrobeezy,like,1.5466666666666666,0.56
377,Unknown Title,0,37,97,13,21,0,0,2023-11-23 05:10:09,kinha,like,1.3673469387755102,0.37755102040816324
779,You really changed these past year what happen?,0,29,99,16,18,0,7,2024-04-05 19:51:50,kinha,like,1.21,0.29
173,Unknown Title,1,68,115,47,4,0,10,2023-11-09 09:26:05,kinha,like,1.4913793103448276,0.5862068965517241
459,"Have Faith, and keep moving Forward...",6,90,60,0,0,0,0,2023-11-29 22:09:45,swapnil,like,2.459016393442623,1.4754098360655739
698,Gain the whole world,0,50,40,8,40,0,0,2024-04-02 09:44:51,kinha,like,2.1951219512195124,1.2195121951219512
997,Words are like keys,1,44,75,0,0,0,0,2024-04-18 08:41:59,mridul,like,1.5657894736842106,0.5789473684210527
84,Just focus on today.,0,84,97,10,29,0,0,2023-11-06 13:01:31,kinha,like,1.846938775510204,0.8571428571428571
898,A Special Message From GOD Only For YOU  You Must Hear This  Lord Helps,0,55,55,6,36,0,1,2024-04-12 03:04:21,kinha,like,1.9464285714285714,0.9821428571428571
702,Jai Shri Ram   Manojavam Marutatulya,0,33,87,0,0,0,0,2024-04-02 10:26:19,kinha,like,1.3636363636363635,0.375
619,Unknown Title,2,35,71,0,0,0,1,2023-12-13 02:12:43,kinha,like,1.4583333333333333,0.4861111111111111
662,Jai Shree Ram,0,54,65,0,0,0,0,2024-03-30 18:45:00,kinha,like,1.803030303030303,0.8181818181818182
663,Jai Shri Ram   Raghunandana from HanuMan 2024 movie Credits to Artists for the Artworks (Source- Pintrest),0,71,78,0,0,0,0,2024-03-30 19:08:43,kinha,like,1.8860759493670887,0.8987341772151899
664,flarefyfacts - 7327961407444552965,0,34,46,0,0,0,0,2024-03-30 19:18:22,kinha,like,1.702127659574468,0.723404255319149
39,take the holy vible pill :),0,37,70,5,36,1,8,2023-10-30 15:08:33,mike,like,1.3943661971830985,0.5211267605633803
38,meditate🧘‍♂️,0,45,87,16,16,0,8,2023-10-30 15:03:10,mike,like,1.4090909090909092,0.5113636363636364
82,Decide to be extraodinary and do,0,33,88,5,31,0,8,2023-11-06 12:50:17,kinha,like,1.2696629213483146,0.3707865168539326
