id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate,category_id,video_link
1379,"When the heart and the mind work together.. ❤️✨- Robert Edward Grant

#robertgrant #robertedwardgrant #heartcoherence #brainheartcoherence #souljourney #soulguidance #surrendertotheflow #spiritualjourney #spiritualgrowth",0,2,17,3,25,2,393,2024-11-28 19:30:23,bloomscroller,like,-20.77777777777778,0.1111111111111111,8,https://video-cdn.socialverseapp.com/bloomscroller_993643aa-3547-4103-8a7c-a2a1e24b221b.mp4
1380,"This reminder is so important 🌻↓

Have you paused to truly thank yourself for carrying you this far? For every time you chose to keep going, even when the world felt heavy? Your heart has weathered storms",0,1,24,3,30,0,415,2024-11-28 19:30:43,bloomscroller,like,-15.6,0.04,8,https://video-cdn.socialverseapp.com/bloomscroller_d5cecb0e-0be4-4f94-8a9f-626b33bc69ae.mp4
1064,What is DAI Stablecoin,19,102,440,0,0,0,1,2024-05-07 12:15:31,kinha,like,1.2267573696145124,0.23129251700680273,21,https://video-cdn.socialverseapp.com/kinha_70415d3f-25af-4ef0-b488-90248b13b6ff.mp4
1321,Ai viral hack!!!,0,18,72,2,27,0,30,2024-10-30 06:00:58,shivam,like,0.821917808219178,0.2465753424657534,13,https://video-cdn.socialverseapp.com/shivam_03f0c0i5l_1128d4f2-2241-479e-a40e-181901f28353.mp4
1338,crypto VFX animation art work!!,0,45,93,1,27,0,65,2024-11-19 06:19:08,shivam,like,0.776595744680851,0.4787234042553192,13,https://video-cdn.socialverseapp.com/shivam_03f0c0i5l_87d06569-36f6-4095-95eb-9938c7f32042.mp4
871,Know that the loard he is god jesus,0,50,99,7,36,0,0,2024-04-11 03:48:09,kinha,like,1.49,0.5,2,https://video-cdn.socialverseapp.com/kinha_e56eafa2-a30a-460e-a6d6-05220a8b8d0b.mp4
923,Trust God,0,78,36,1,28,0,0,2024-04-15 02:44:47,kinha,like,3.081081081081081,2.108108108108108,2,https://video-cdn.socialverseapp.com/kinha_e84172cd-7031-4296-9f34-e1ec68fe9da5.mp4
167,Unknown Title,2,42,91,10,41,1,0,2023-11-09 09:24:03,kinha,like,1.4456521739130435,0.45652173913043476,2,https://video-cdn.socialverseapp.com/kinha_1d0a8673-6175-4801-9aba-2889f991a022.mp4
152,Unknown Title,0,59,113,8,36,1,6,2023-11-08 18:43:06,kinha,like,1.456140350877193,0.5175438596491229,2,https://video-cdn.socialverseapp.com/kinha_ecc37b60-eb80-4e54-b4d9-9ee0797141f7.mp4
30,Ask yourself,0,69,77,6,35,0,2,2023-10-25 20:11:46,afrobeezy,like,1.8461538461538463,0.8846153846153846,2,https://video-cdn.socialverseapp.com/afrobeezy_26912941-3a15-4a7e-b0e9-1f5bc6525de8.mp4
1208,Agree or disagree_ #dailywisdom #learningontiktok #motivation,0,53,81,4,34,2,69,2024-08-28 16:31:47,kinha,like,0.7926829268292683,0.6463414634146342,2,https://video-cdn.socialverseapp.com/kinha_22eb6c3a-a90b-448a-92d1-a168ce563c5a.mp4
11,Recipe for a flow state,0,45,61,7,36,8,0,2023-10-23 19:20:07,afrobeezy,like,1.7096774193548387,0.7258064516129032,2,https://video-cdn.socialverseapp.com/michael_9f5b241d-d40e-4946-be5d-711448b7e0f4.mp4
1258,Risposta a @Franky Sospiry  Do you hold SOLANA_ 👀 Let me know what coin I should do next 👇🏻🤯 #solana #sol #altcoin #crypto,1,46,92,3,16,0,103,2024-09-12 12:45:03,kinha,like,0.3763440860215054,0.4946236559139785,22,https://video-cdn.socialverseapp.com/kinha_8ce7e46d-978e-4b75-b6bc-0c31a1a00ccf.mp4
1133,“Who’s Happier…” 🤔 - Sadia Khan - #traditionalwomen #traditionalculture #realtalks #sadiakhan,0,80,68,0,0,0,0,2024-08-16 16:41:21,kinha,like,2.1449275362318843,1.1594202898550725,2,https://video-cdn.socialverseapp.com/kinha_618ac20d-d976-4bcc-a356-941607112fa5.mp4
1104,Interesting podcast with Dr Cheri Mah hosted by @Steven Bartlett 🤯 - #lifeadvices #healthadvice #schooltime #sleepadvice #sleeptime #thediaryofaceo .mp4,1,42,70,1,29,0,2,2024-08-08 16:49:56,kinha,like,1.5492957746478873,0.5915492957746479,2,https://video-cdn.socialverseapp.com/kinha_f9215f5e-8868-4ce4-b13f-fb76db9215c9.mp4
1252,Solana is heading up 📈,0,72,114,4,15,0,164,2024-09-12 12:19:57,michaeldadziie,like,0.19130434782608696,0.6260869565217392,22,https://video-cdn.socialverseapp.com/michaeldadziie_1b4c42b4-cebd-47ad-a06c-1739196154fd.mp4
1213,Type YES if you agree 🙏🏽 #leadership #productivity #service #critics,0,60,53,1,27,0,145,2024-08-29 13:32:27,kinha,like,-0.5925925925925926,1.1111111111111112,2,https://video-cdn.socialverseapp.com/kinha_1b8c72e0-fbca-4768-b416-afbf82e7582f.mp4
1236,‘Love thyself’. #motivation #inspiration #dailywisdom,0,62,84,1,23,3,90,2024-09-02 19:49:23,kinha,like,0.6588235294117647,0.7294117647058823,2,https://video-cdn.socialverseapp.com/kinha_562e5f50-bed3-499b-b182-7b894501a709.mp4
58,act now!,0,43,65,6,36,0,5,2023-11-01 15:14:13,afrobeezy,like,1.5606060606060606,0.6515151515151515,2,https://video-cdn.socialverseapp.com/afrobeezy_0d6d5abd-9e86-4173-9800-96f1bb693f1e.mp4
789,jesus..is..my..hero,0,56,72,7,43,0,0,2024-04-08 05:14:51,kinha,like,1.7534246575342465,0.7671232876712328,2,https://video-cdn.socialverseapp.com/kinha_a3f450c7-ce1e-494a-bec4-45c172fa1992.mp4
1246,“The Blame Game…” 🤍 - Sara Al Madani - Credits_ On a Mission - #lifeadvices #lifequote #mindsetgrowth #mindsetmatter #realtalks #saraalmadani #blamegame,1,70,68,5,35,3,41,2024-09-03 16:07:45,kinha,like,1.4057971014492754,1.0144927536231885,2,https://video-cdn.socialverseapp.com/kinha_ff00524d-291c-40bd-820d-a16d58c4ec9c.mp4
1247,“No one’s coming…” 🤍 - Ed Mylett - #lifeadvices #lifequote #lifetip  #successquote #adviceforguys #adviceforboy #realtalks #edmylett,0,80,60,4,21,1,153,2024-09-03 16:08:02,kinha,like,-0.21311475409836064,1.3114754098360655,2,https://video-cdn.socialverseapp.com/kinha_39a33dcc-2268-4b11-b744-7a0771ff323b.mp4
939,DON’T be afraid of any challenge or obstacle. Remember it might not be possible with man but when God is on your side everything is possible.  Video idea credits,0,35,67,1,31,0,0,2024-04-16 12:28:50,kinha,like,1.5,0.5147058823529411,2,https://video-cdn.socialverseapp.com/kinha_0b3c0a13-a185-4f87-914f-00d780e06a34.mp4
1159,Its how you lead your life… #traviskelce #taylorswift #motivation #SuperBowl #inspiration,0,62,60,0,0,0,0,2024-08-19 15:58:59,kinha,like,2.0,1.0163934426229508,2,https://video-cdn.socialverseapp.com/kinha_f0967ed0-039c-45b1-915b-cbe20a610ee7.mp4
918,Yes He Has,0,32,67,5,32,0,0,2024-04-15 02:42:40,kinha,like,1.4558823529411764,0.47058823529411764,2,https://video-cdn.socialverseapp.com/kinha_b7e1c417-5451-479d-9721-b90b0b88c753.mp4
1160,“Most men live lives…” 💔 - Joe Rogan - #manquote #quoteformen #adviceforman #menlife #realtalks #joerogan,0,35,73,0,0,0,0,2024-08-19 15:59:25,kinha,like,1.4594594594594594,0.47297297297297297,2,https://video-cdn.socialverseapp.com/kinha_9781f948-4ad6-4939-83a4-be2669bdcaa6.mp4
1163,MORE… #ye #kanyewest #kobebryant #motivation,0,37,52,0,0,0,0,2024-08-19 16:02:36,kinha,like,1.679245283018868,0.6981132075471698,2,https://video-cdn.socialverseapp.com/kinha_fb04517f-aebf-405a-93ea-f4ad3795ba71.mp4
1164,How to identify a good women… 💎 - Credits_ JustPearlyThings - #traditionalwomen #goodwomen #traditionalvalues #relationshipadviceformen,0,66,51,0,0,0,0,2024-08-19 16:02:59,kinha,like,2.25,1.2692307692307692,2,https://video-cdn.socialverseapp.com/kinha_2bcb072d-6bcd-4cd1-97d4-485aac82798c.mp4
1161,"In a world of trivial distraction, battleproof your focus. Work in quietude, on a big problem that will revolutionize the lives of those you serve.   #leadership #productivity #service #focus #tactics #top5",0,75,80,0,0,0,0,2024-08-19 15:59:52,kinha,like,1.9135802469135803,0.9259259259259259,2,https://video-cdn.socialverseapp.com/kinha_71c210e2-40eb-46c7-af7a-179c4570ff79.mp4
788,Prayer before bed,1,52,26,6,35,0,12,2024-04-08 05:14:33,kinha,like,2.4444444444444446,1.9259259259259258,2,https://video-cdn.socialverseapp.com/kinha_99bc1572-7377-4ff5-9735-c9746c45141a.mp4
714,Raam Raam,0,45,82,0,0,0,0,2024-04-03 06:15:49,kinha,like,1.5301204819277108,0.5421686746987951,6,https://video-cdn.socialverseapp.com/kinha_b043f6c7-00c2-420c-93de-74d4db17db36.mp4
996,Ram Siya Ram Siya Ram Jai Jai Ram❤,1,84,45,0,0,0,1,2024-04-18 02:44:16,kinha,like,2.782608695652174,1.826086956521739,6,https://video-cdn.socialverseapp.com/kinha_4ce0ae58-0c1e-4f4c-a755-d68207918100.mp4
775,part 2,0,49,76,4,33,0,0,2024-04-05 19:50:05,kinha,like,1.6233766233766234,0.6363636363636364,2,https://video-cdn.socialverseapp.com/kinha_2ebcfae8-8d37-47af-aba2-7a6fb6f0ba07.mp4
29,How to be disciplined,0,42,74,8,35,0,0,2023-10-25 20:03:37,afrobeezy,like,1.5466666666666666,0.56,2,https://video-cdn.socialverseapp.com/afrobeezy_eba5e7c7-cb29-4836-a66a-ef77fbefe76c.mp4
377,Unknown Title,0,37,97,13,21,0,0,2023-11-23 05:10:09,kinha,like,1.3673469387755102,0.37755102040816324,2,https://video-cdn.socialverseapp.com/kinha_b750caf0-8b65-4c3c-89bf-d4b78cdee9ed.mp4
779,You really changed these past year what happen?,0,29,99,16,18,0,7,2024-04-05 19:51:50,kinha,like,1.21,0.29,2,https://video-cdn.socialverseapp.com/kinha_a4100924-0e7a-431b-b1d5-8eb807e0ea29.mp4
173,Unknown Title,1,68,115,47,4,0,10,2023-11-09 09:26:05,kinha,like,1.4913793103448276,0.5862068965517241,2,https://video-cdn.socialverseapp.com/kinha_b6d428b1-0847-4fa3-8ef8-07ffb8855e49.mp4
459,"Have Faith, and keep moving Forward...",6,90,60,0,0,0,0,2023-11-29 22:09:45,swapnil,like,2.459016393442623,1.4754098360655739,5,https://video-cdn.socialverseapp.com/swapnil_a541a193-62db-46c6-87d0-81b024822790.mp4
